level,I0,h=-9,h=-8,h=-7,h=-6,h=-5,h=-4,h=-3,h=-2,h=-1,h=0,h=1,h=2,h=3,h=4,h=5,h=6,h=7,h=8,h=9
33,2.628571429,0,0,0,0,0,0,0,2,340,32768,65195,65533,65535,65535,65535,65535,65535,65535,65535
34,2.722222222,0,0,0,0,0,0,0,1,282,32768,65253,65534,65535,65535,65535,65535,65535,65535,65535
35,2.766717724,0,0,0,0,0,0,0,1,258,32768,65277,65534,65535,65535,65535,65535,65535,65535,65535
36,2.815873016,0,0,0,0,0,0,0,1,234,32768,65301,65534,65535,65535,65535,65535,65535,65535,65535
37,2.90952381,0,0,0,0,0,0,0,1,194,32768,65341,65534,65535,65535,65535,65535,65535,65535,65535
38,3.003174603,0,0,0,0,0,0,0,0,161,32768,65374,65535,65535,65535,65535,65535,65535,65535,65535
39,3.050916792,0,0,0,0,0,0,0,0,146,32768,65389,65535,65535,65535,65535,65535,65535,65535,65535
40,3.096825397,0,0,0,0,0,0,0,0,134,32768,65401,65535,65535,65535,65535,65535,65535,65535,65535
41,3.190476191,0,0,0,0,0,0,0,0,111,32768,65424,65535,65535,65535,65535,65535,65535,65535,65535
42,3.284126984,0,0,0,0,0,0,0,0,92,32768,65443,65535,65535,65535,65535,65535,65535,65535,65535
43,3.33511586,0,0,0,0,0,0,0,0,83,32768,65452,65535,65535,65535,65535,65535,65535,65535,65535
44,3.377777778,0,0,0,0,0,0,0,0,76,32768,65459,65535,65535,65535,65535,65535,65535,65535,65535
45,3.471428571,0,0,0,0,0,0,0,0,63,32768,65472,65535,65535,65535,65535,65535,65535,65535,65535
46,3.565079365,0,0,0,0,0,0,0,0,52,32768,65483,65535,65535,65535,65535,65535,65535,65535,65535
47,3.658730159,0,0,0,0,0,0,0,0,43,32768,65492,65535,65535,65535,65535,65535,65535,65535,65535
48,3.752380952,0,0,0,0,0,0,0,0,36,32768,65499,65535,65535,65535,65535,65535,65535,65535,65535
49,3.846031746,0,0,0,0,0,0,0,0,30,32768,65505,65535,65535,65535,65535,65535,65535,65535,65535
50,3.897045343,0,0,0,0,0,0,0,0,27,32768,65508,65535,65535,65535,65535,65535,65535,65535,65535
51,3.93968254,0,0,0,0,0,0,0,0,25,32768,65510,65535,65535,65535,65535,65535,65535,65535,65535
52,4.033333333,0,0,0,0,0,0,0,0,21,32768,65514,65535,65535,65535,65535,65535,65535,65535,65535
53,4.126984127,0,0,0,0,0,0,0,0,17,32768,65518,65535,65535,65535,65535,65535,65535,65535,65535
54,4.220634921,0,0,0,0,0,0,0,0,14,32768,65521,65535,65535,65535,65535,65535,65535,65535,65535
55,4.314285714,0,0,0,0,0,0,0,0,12,32768,65523,65535,65535,65535,65535,65535,65535,65535,65535
56,4.407936508,0,0,0,0,0,0,0,0,10,32768,65525,65535,65535,65535,65535,65535,65535,65535,65535
57,4.446488856,0,0,0,0,0,0,0,0,9,32768,65526,65535,65535,65535,65535,65535,65535,65535,65535
58,4.501587302,0,0,0,0,0,0,0,0,8,32768,65527,65535,65535,65535,65535,65535,65535,65535,65535
59,4.595238095,0,0,0,0,0,0,0,0,7,32768,65528,65535,65535,65535,65535,65535,65535,65535,65535
60,4.688888889,0,0,0,0,0,0,0,0,6,32768,65529,65535,65535,65535,65535,65535,65535,65535,65535
61,4.995840782,0,0,0,0,0,0,0,0,3,32768,65532,65535,65535,65535,65535,65535,65535,65535,65535
62,5.545162186,0,0,0,0,0,0,0,0,1,32768,65534,65535,65535,65535,65535,65535,65535,65535,65535
63,6,0,0,0,0,0,0,0,0,0,32768,65535,65535,65535,65535,65535,65535,65535,65535,65535
